Date,Dividends
2020-11-17 09:00:00,0.05
2021-02-25 09:00:00,0.15
2021-05-18 09:00:00,0.25
2021-08-17 09:00:00,0.3
2021-11-16 09:00:00,0.28
2022-02-22 09:00:00,0.3
2022-05-18 09:00:00,0.32
2022-08-16 09:00:00,0.28
2022-11-16 09:00:00,0.28
2023-02-16 09:00:00,0.27
2023-05-17 09:00:00,0.27
2023-08-16 09:00:00,0.35
2023-11-16 09:00:00,0.35
2024-02-27 09:00:00,0.4
2024-05-17 09:00:00,0.51
2024-08-16 09:00:00,0.55
2024-11-18 09:00:00,0.55
2025-02-20 09:00:00,0.5
2025-05-19 09:00:00,0.47
2025-08-18 09:00:00,0.4
2025-11-18 09:00:00,0.4
2026-02-26 09:00:00,0.42
2026-05-19 09:00:00,0.66
